"analysis_id","gene_accession_id","gene_symbol","mouse_strain","mouse_life_stage","parameter_id","pvalue","parameter_name"
"0257jy8lbw1qugx","MGI:107171","Ppp3r2","C57BL","Early adult","IMPC_DXA_006_001","0.6978473","Body length"
"026260y2u9hb07x","MGI:1924486","Sccpdh","C57BL","Early adult","IMPC_EYE_092_002","0.6742481","Retina (combined)"
"02698mow04s66px","MGI:1922387","Rprd2","C57BL","Early adult","IMPC_GEM_007_001","0.2628013","Pericardium Morphology"
"026k75cg613tf3a","MGI:3649135","Gm7694","C57BL","Early adult","CCP_XRY_061_001","0.6728696","Fusion of processes"
"027390994v23u8m","MGI:1350930","Srp9","C57BL","Early adult","IMPC_CSD_038_001","0.06092209","Trunk curl"
"027h5gy4d20558x","MGI:97565","Pgm1","C57BL","E12.5","IMPC_OFD_013_001","0.6550375","Periphery average speed"
"027r5454e3607tx","MGI:107171","Ppp3r2","C57BL","Early adult","IMPC_EYE_070_001","0.1549889","Left outer nuclear layer"
"028649i7z74ppjx","MGI:1891259","Lrat","C57BL","Early adult","JAX_LDT_009_001","0.8125881","Percent time in light"
"028rxl30b42a0yx","MGI:1350930","Srp9","C57BL","Early adult","MGP_IMM_073_001","0.08269183","Effector CD4+ T helper cells - % of CD45+"
"029dy8817hu966a","MGI:2140361","Slc35d1","C57BL","E18.5","IMPC_GEM_025_002","0.3151736","Pallor"
"02anbnosd8fb32m","MGI:3611233","Tox2","C57BL","Early adult","IMPC_EYE_025_001","0.5267301","Retinal Blood Vessels Structure"
"02as46e7k8x619x","MGI:1919880","Hspa12b","C57BL","Early adult","UCD_OWT_005_001","0.4667722","Right kidney"
"02b4f63i78a1e4a","MGI:107363","Stxbp1","C57BL","Early adult","IMPC_IPG_010_001","0.8891581","Fasted blood glucose concentration"
"02d92wf7l2gq8aa","MGI:2387617","Obp2a","C57BL","Early adult","IMPC_DXA_006_001","0.4420585","Body length"
"02d9ovn828dsz1a","MGI:1919128","Fam83d","C57BL","Early adult","UCDLA_CSD_012_001","0.3341795","Coat - hair distribution - head"
"02el665km2btt6m","MGI:1890510","Atp6v0b","C57BL","Early adult","CCP_XRY_001_001","0.1308271","Skull shape"
"02j1r41e88pm4vx","MGI:1921735","Lrrc71","C57BL","Early adult","IMPC_IMM_032_002","0.2153291","Effector CD8+ T cells - % of live leukocytes (Panel A)"
"02k906jw50k52ix","MGI:1915643","Mogat1","C57BL","Early adult","MGP_IMM_010_001","0.6912183","Effector Treg cells - % of Treg"
"02osij4k0z0f32a","MGI:3588202","Garin4","C57BL","Early adult","IMPC_EYE_027_001","0.5908706","Persistence of hyaloid vascular system"
"02p6a3gxvgcjtbm","MGI:1923676","Fam209","C57BL","Early adult","MGP_IMM_004_001","0.7501101","Total CD4+ T cells - % of ab T cells"
"02rzs5yrbg61t0a","MGI:1920199","Ccnt2","C57BL","Early adult","IMPC_GEO_065_001","0.5905942","Limb morphology"
"02vct6ue041861x","MGI:1917120","Polr3gl","C57BL","E18.5","JAX_ROT_002_001","0.1745492","Average duration"
"02vwoq2693v4k9x","MGI:1923073","Fam227b","C57BL","Early adult","CCP_XRY_005_001","0.7747743","Teeth"
"02x42vxp3s42h5m","MGI:106637","Slc30a2","C57BL","Early adult","IMPC_CSD_015_001","0.8122028","Coat - hair texture / appearance - head"
"02xtpg7mh4r691m","MGI:98386","Sptan1","C57BL","E9.5","MGP_IMM_013_001","0.6218659","Total CD8+ T cells - % of ab T cells"
"02y3139d5t3wm2m","MGI:107363","Stxbp1","C57BL","E18.5","HMGULA_DYS_014_001","0.1083035","Coat - hair texture / appearance - back"
"02y4858mhj7tv0x","MGI:106925","Cldn11","C57BL","Middle aged adult","IMPC_EYE_056_001","0.471783","Mean left eye lens density"
"030878x231xvz7m","MGI:1914454","Eif2s2","C57BL","E9.5","ESLIM_015_001_002","0.6083802","Urea"
"0312medn03w0kbm","MGI:1337072","Ier5","C57BL","Late adult","MGP_MLN_114_001","0.6739605","Total DC - % of CD45+"
"031b7yx76ji945m","MGI:1927753","Inpp5e","C57BL","E12.5","MGP_IMM_093_001","0.9947938","Resting CD4- NKT cells - % of CD45+"
"031g5otg7s3o3ca","MGI:97383","Ntrk1","C57BL","Early adult","IMPC_ECH_018_001","0.08249887","Respiration Rate"
"032750z8233w14x","MGI:2444631","Bltp1","C57BL","E12.5","CCP_XRY_031_001","0.149796","Digit integrity"
"033qb4itb57w7ym","MGI:1924232","Vxn","C57BL","Early adult","ESLIM_016_001_004","0.7883811","Haematocrit"
"0345wef0b6h4s8x","MGI:1931071","Sec61a2","C57BL","Early adult","MGP_PBI_015_001","0.3718842","IgD+ mature B cell percentage"
"034lv7865j4z97x","MGI:97324","Nhlh2","C57BL","Early adult","IMPC_CSD_015_001","0.8660292","Coat - hair texture / appearance - head"
"0356e578f823khx","MGI:2445096","Dhtkd1","C57BL","Early adult","MGP_CSD_026_001","0.6006808","Ventral coat/hair colour"
"035v282575h65kx","MGI:104559","Rcn1","C57BL","Early adult","IMPC_ECG_010_001","0.9466729","HRV"
"03690vcj955tk0a","MGI:1922387","Rprd2","C57BL","E9.5","ESLIM_008_001_016","0.7063446","Trunk curl"
"037i9828h0of3na","MGI:1913491","Tmem9","C57BL","Early adult","IMPC_EYE_065_001","0.4643552","Right posterior chamber depth"
"037qpl5cun9619a","MGI:103559","Sox18","C57BL","Early adult","IMPC_CBC_004_001","0.2242012","Urea (Blood Urea Nitrogen - BUN)"
"03877q45689600a","MGI:2444391","Slc25a44","C57BL","Early adult","M-G-P_016_001_006","0.9982552","Mean-corpuscular-haemoglobin"
"038u8h5x7c6cxmm","MGI:2676312","Abca12","C57BL","Early adult","JAX_LDT_004_001","0.7131597","Dark side time spent"
"038wb1ggu71dcix","MGI:1923953","Cpb1","C57BL","Early adult","IMPC_GEP_022_001","0.437636","Embryo Size"
"038y695v157946x","MGI:1921520","Usp20","C57BL","Early adult","IMPC_CBC_013_001","0.3223831","Alanine aminotransferase"
"039188n5m6n8nex","MGI:104516","Slc23a3","C57BL","Early adult","IMPC_IMM_004_002","0.525513","NKT cells (panel A) - % of live leukocytes (Panel A)"
"0398g4d3l1t01rx","MGI:2135283","Igsf9","C57BL","Early adult","ESLIM_005_001_701","0.2325874","BMC/Body weight"
"039kx8lo4t908nm","MGI:1920484","Snorc","C57BL","Early adult","UCDLA_CSD_012_001","0.8559221","Coat - hair distribution - head"
"03a0e6b472bxv5m","MGI:1924467","Rspo4","C57BL","Early adult","IMPC_EYE_069_001","0.64724","Left inner nuclear layer"
"03aq764yy367bka","MGI:104793","Runx1t1","C57BL","Early adult","JAX_OFD_017_001","0.6861189","Center average speed"
"03at4z6y1mvvypm","MGI:1915599","Ndufs3","C57BL","Early adult","CCP_XRY_005_001","0.1114065","Teeth"
"03d8m8977xa4wgx","MGI:1913721","Anp32e","C57BL","Early adult","IMPC_IMM_032_002","0.09163452","Effector CD8+ T cells - % of live leukocytes (Panel A)"
"03g5lk92a1f37vm","MGI:97565","Pgm1","C57BL","Early adult","M-G-P_026_001_003","0.52135","Coat intact"
"03j38j70489ka3x","MGI:2158201","Acot8","C57BL","Early adult","CCP_XRY_019_001","0.1999087","Fusion of vertebrae"
"03o34612ocewe5a","MGI:1919880","Hspa12b","C57BL","Early adult","IMPC_EYE_025_001","0.7375433","Retinal Blood Vessels Structure"
"03odn18al98f8cm","MGI:98386","Sptan1","C57BL","Early adult","ESLIM_008_001_022","0.2837255","Vocalisation"
"03p58a68nvn188x","MGI:3576049","Ugt1a2","C57BL","Early adult","IMPC_EYE_070_001","0.6887831","Left outer nuclear layer"
"03qe9prx526ua3a","MGI:1918398","Mier1","C57BL","Early adult","CCP_LDT_008_001","0.13155","Percent time in light"
"03s5cuts2982d6a","MGI:1924232","Vxn","C57BL","Early adult","IMPC_CSD_026_001","0.7683114","Head morphology"
"03tpp99mpx32efm","MGI:2444631","Bltp1","C57BL","E12.5","MGP_MLN_080_001","0.4469908","Effector gd cells - % of CD45+"
"03w57iuaa187yaa","MGI:1350930","Srp9","C57BL","E12.5","IMPC_DXA_009_001","0.3735927","Fat/Body weight"
"03yk9pf19hv1w7a","MGI:1914454","Eif2s2","C57BL","E12.5","IMPC_FEA_003_001","0.9881373","Conditioning Baseline % Freezing Time"
"03zu94dlv7p138a","MGI:1915862","Ube2c","C57BL","E18.5","IMPC_CBC_023_001","0.547062","Alpha-amylase"
"04127f0ef0o025a","MGI:97565","Pgm1","C57BL","E9.5","IMPC_EYE_064_001","0.3302339","Right outer nuclear layer"
"041mpe7259n283x","MGI:1913790","Fam107b","C57BL","Early adult","MGP_IMM_086_001","0.06371847","CD5+ gd T cells - % of CD45+"
"041n959wy0n065m","MGI:1926106","Fam163b","C57BL","Early adult","IMPC_HEM_038_001","0.8527822","Basophil differential count"
"042a5w3p49nouba","MGI:105383","Il18r1","C57BL","Early adult","IMPC_OFD_009_001","0.8833708","Whole arena average speed"
"042lk77sc111t5a","MGI:2685195","Zbtb34","C57BL","E9.5","IMPC_XRY_027_001","0.8634949","Joints"
"0443s3p19891rrm","MGI:2443100","Bend7","C57BL","Early adult","MGP_MLN_075_001","0.6204375","Resting CD8+ T cells - % of CD45+"
"044za1ra467o5hm","MGI:2679260","Crb2","C57BL","Early adult","IMPC_CSD_078_001","0.4162955","Vocalization"
"0452x7eg152rqim","MGI:2442177","Pced1a","C57BL","Early adult","IMPC_CSD_078_001","0.5326356","Vocalization"
"0464p54u5tgl0dm","MGI:106925","Cldn11","C57BL","Middle aged adult","MGP_IMM_012_001","0.2839288","KLRG1+ Treg cells - % of Treg"
"047949s748q6s2x","MGI:1096385","Bcan","C57BL","Late adult","UCDLA_CSD_011_001","0.9985413","Coat - hair distribution - back"
"0480r5g6edjyx3x","MGI:1916987","Ttl","C57BL","E12.5","MGP_PBI_015_001","0.2463879","IgD+ mature B cell percentage"
"04835r73s9d4uxx","MGI:1913790","Fam107b","C57BL","Early adult","M-G-P_026_001_010","5.686925e-07","Mouth morphology"
"0497l9za892c28m","MGI:1921520","Usp20","C57BL","Early adult","CCP_LDT_007_001","0.8367766","Percent time in dark"
"049oz3m2z06hz3x","MGI:1922776","Eppin","C57BL","Early adult","MGP_IMM_006_001","0.7482361","Effector CD4+ T helper cells - % of CD4+ T helper cells"
"04dgvr83ox7zc5a","MGI:1346342","Clca1","C57BL","Early adult","IMPC_GEO_043_002","0.09189939","spina bifida"
"04f5vvhh4ig4u9m","MGI:106637","Slc30a2","C57BL","Early adult","IMPC_CBC_009_001","0.702226","Calcium"
"04ir49lo821667a","MGI:1923073","Fam227b","C57BL","Early adult","M-G-P_025_001_002","0.5162972","Urea"
"04kj8m4x3b343kx","MGI:2676312","Abca12","C57BL","Early adult","IMPC_OWT_002_001","0.5902634","Spleen weight"
"04ku50665zepwcx","MGI:2384297","Map7d1","C57BL","E9.5","IMPC_ACS_006_001","0.3050735","Response amplitude - S"
"04ot9ig441lo27x","MGI:1919471","Cimip1","C57BL","Early adult","MGP_IMM_005_001","0.730254","CD4+ T helper cells - % of CD4+"
"04r6ia22817yksm","MGI:2684789","Lrsam1","C57BL","Early adult","MGP_IMM_130_001","0.4452064","CD11b-low cDC - % of CD45+"
"04r741hu83rt2ka","MGI:2444508","Fitm2","C57BL","E12.5","JAX_OFD_009_001","0.5122807","Whole arena average speed"
"04ri5w0ev3f00rx","MGI:1916987","Ttl","C57BL","Early adult","IMPC_CSD_015_001","0.06292944","Coat - hair texture / appearance - head"
"04y1dofey92zkoa","MGI:3617846","Ankrd34a","C57BL","Early adult","MGP_IMM_016_001","0.3488772","Naive CD8+ T cells - % of CD8+"
"04yp60752t1e07x","MGI:1201673","Shox2","C57BL","E15.5","IMPC_GRS_009_001","0.1060898","Forelimb and hindlimb grip strength measurement mean"
"04z764c2x99g13x","MGI:87867","Acadm","C57BL","Early adult","JAX_LDT_009_001","0.2423103","Percent time in light"
"050c25yjvdfe36a","MGI:1919369","Tpx2","C57BL","E9.5","IMPC_EYE_087_001","0.907695","Right vitreous humor thickness"
"050t179i06k9ihx","MGI:106637","Slc30a2","C57BL","E9.5","IMPC_ACS_035_001","0.147197","% Pre-pulse inhibition - PPI3"
"05120v5c87h86ca","MGI:1918142","Ttll7","C57BL","Early adult","IMPC_CSD_028_001","0.3186615","Snout size"
"05148743bn1j97x","MGI:1924232","Vxn","C57BL","Early adult","IMPC_DXA_009_001","0.9655122","Fat/Body weight"
"051r454w4671eoa","MGI:1913423","CCDC107","C57BL","Early adult","CCP_XRY_018_001","0.7850896","Shape of vertebrae"
"0524f47bc3bebya","MGI:3617846","Ankrd34a","C57BL","Early adult","JAX_PLC_004_001","0.8758001","Glucose"
"05382xo7rz29c4m","MGI:1917120","Polr3gl","C57BL","Early adult","IMPC_IMM_040_002","0.7956127","Effector CD4+ NKT cells - % of live leukocytes (Panel A)"
"053zgu37c1i991a","MGI:106925","Cldn11","C57BL","Early adult","IMPC_GRS_010_001","0.8582319","Forelimb grip strength normalised against body weight"
"0543w6t53mw4j6m","MGI:106637","Slc30a2","C54BL","E9.5","IMPC_CBC_016_001","0.2671063","HDL-cholesterol"
"0546847ye551j7x","MGI:88525","Cryge","C57BL","Early adult","MGP_IMM_019_001","0.635224","CD5+ gd T cells - % of gd T cells"
"055v2d9ae4ois7x","MGI:1095412","Unc5c","C57BL","Middle aged adult","JAX_LDT_002_001","0.803952","Light side time spent"
"05922217utd5h0m","MGI:103300","Rbl1","C57BL","Early adult","UCD_OWT_003_001","0.9466426","Spleen weight"
"0594f1f839q896x","MGI:3611450","Mettl21c","C57BL","Early adult","IMPC_XRY_027_001","0.860063","Joints"
"0596l05fbk52prx","MGI:1920199","Ccnt2","C57BL","Early adult","IMPC_CBC_004_001","0.2126099","Urea (Blood Urea Nitrogen - BUN)"
"059f92d36g8kd7a","MGI:95777","Gnas","129SV","Early adult","IMPC_CBC_003_001","0.3035859","Chloride"
"05b6y0jr5z3mn5m","MGI:2444508","Fitm2","C57BL","E15.5","IMPC_XRY_023_001","0.3347577","Ulna"
"05e51ha85tpjaox","MGI:1927241","Wdr12","C57BL","E12.5","IMPC_GRS_010_001","0.5628369","Forelimb grip strength normalised against body weight"
"05j4m9u90038yxx","MGI:1922387","Rprd2","C57BL","E12.5","IMPC_CSD_013_001","0.9571669","Coat - hair distribution - abdomen"
"05jf4518147g0ta","MGI:2387617","Obp2a","C57BL","Early adult","IMPC_XRY_023_001","1.176422","Ulna"
"05l30270qmp68xx","MGI:1918398","Mier1","C57BL","Early adult","JAX_OFD_014_001","0.1371298","Center distance travelled"
"05n8349q911pl2x","MGI:1927241","Wdr12","C57BL","Early adult","ESLIM_008_001_022","0.9110654","Vocalisation"
"05oaw9i8ezualka","MGI:1917770","Glipr2","C57BL","Early adult","IMPC_EYE_092_002","0.5466274","Retina (combined)"
"05tn172q45o55ux","MGI:1859866","Cdc20","C57BL","Early adult","IMPC_FEA_015_001","0.1600154","Cue Baseline % Freezing Time"
"05upk1yr9wnej9m","MGI:101770","Bfsp1","C57BL","Early adult","IMPC_ECH_013_001","0.5324877","HR"
"05vtxg3c29a9rnm","MGI:2443805","Bnc2","C57BL","Early adult","IMPC_HEM_030_001","0.9722131","Neutrophil cell count"
"05w516on28k549m","MGI:2444274","Cfap65","C57BL","Early adult","IMPC_OFD_009_001","0.8452188","Whole arena average speed"
"05wmaa2069ex6px","MGI:2444631","Bltp1","C57BL","Early adult","MGP_IMM_013_001","0.8972444","Total CD8+ T cells - % of ab T cells"
"05x4s2z23639h1m","MGI:1927753","Inpp5e","C57BL","E15.5","IMPC_HEM_004_001","0.6239287","Hematocrit"
"0600hmp730pq49x","MGI:98386","Sptan1","C57BL","E9.5","IMPC_HEM_027_001","0.3070182","Red blood cell distribution width"
"0608979s64gxtkx","MGI:1916987","Ttl","C57BL","E12.5","IMPC_OFD_019_001","0.5850847","Number of center entries"
"061919618r0032m","MGI:1921263","Rftn2","C57BL","Early adult","ESLIM_013_001_004","0.216896","Left retina pigmentation"
"062a42w299j55jx","MGI:1914454","Eif2s2","C57BL","E12.5","IMPC_IMM_011_002","0.511238","CD4+ NKT cells - % of live leukocytes (Panel A)"
"062i1078mi8rbwm","MGI:1309469","Casq2","C57BL","E12.5","MGP_IMM_128_001","0.1754263","Conventional DC (cDC) - % of CD45+"
"062w1t19s06pp9m","MGI:107363","Stxbp1","C57BL","E18.5","IMPC_GEM_068_001","0.5097024","Forebrain morphology"
"0633ivbn37473cx","MGI:1924232","Vxn","C57BL","Early adult","UCDLA_EYE_083_001","0.2447342","Vitreous"
"0654dea30c8640m","MGI:88015","Ampd1","C57BL","E15.5","IMPC_EYE_017_001","0.1266463","Lens Opacity"
"0677c92pufcwk6a","MGI:107191","Bmpr1b","C57BL","Early adult","ESLIM_020_001_002","0.8926117","Heart weight"
"067x1l1iyk6617x","MGI:1916330","Gmppa","C57BL","Early adult","IMPC_ECH_012_001","0.2877018","LVPWs"
"068k675497881ea","MGI:1919471","Cimip1","C57BL","Early adult","IMPC_GEO_064_001","0.7090884","Edema"
"068wc9t3eas7hra","MGI:1922387","Rprd2","C57BL","E12.5","ESLIM_016_001_004","0.6936145","Haematocrit"
"0692417a41eyt3m","MGI:1096385","Bcan","C57BL","Late adult","UCDIP_CSD_014_001","0.3606844","Coat - hair texture / appearance - back"
"06a94qi05emm13m","MGI:104294","Tyro3","C57BL","Early adult","ESLIM_013_001_004","0.6970378","Left retina pigmentation"
"06d94662b697njx","MGI:1922776","Eppin","C57BL","Early adult","IMPC_HEM_027_001","0.110921","Red blood cell distribution width"
"06f26zf05j803ta","MGI:2138198","D630023F18Rik","C57BL","Early adult","IMPC_CBC_024_001","0.6335595","UIBC (unsaturated iron binding capacity)"
"06fninx58a1sh1x","MGI:2140050","Ints3","C57BL","Early adult","IMPC_IPG_012_001","0.2550914","Area under glucose response curve"
"06h453ezyiy492a","MGI:98397","Src","129SV","Early adult","IMPC_ECG_028_001","0.7352954","QT"
"06md03c2s1p8jra","MGI:1919051","Plekhf2","C57BL","Early adult","MGP_PBI_005_001","0.2384632","Gamma delta T cell percentage"
"06nrj64in2q851a","MGI:101813","Coq3","C57BL","E9.5","CCP_XRY_004_001","0.7553434","Mandibles"
"06pdct366icub1m","MGI:2444631","Bltp1","C57BL","Early adult","MGP_IMM_128_001","0.09500919","Conventional DC (cDC) - % of CD45+"
"06u61l960i4i65x","MGI:101813","Coq3","C57BL","Early adult","MGP_CSD_027_001","0.7247845","Ventral coat/hair colour pattern"
