procedure_name,is_mandatory,procedure_description,procedure_id,parameter_mapping
Acoustic Startle and Pre-pulse Inhibition (PPI),1,"The acoustic startle response is characterized by an exaggerated flinching response to an unexpected strong auditory stimulus (pre-pulse). This response can be attenuated when it is preceded by a weaker stimulus (pre-pulse) and is the principle underlying pre-pulse inhibition (PPI). PPI has been described in numerous species, including mice and humans and provides an operational measure of sensorimotor gating reflecting the ability of an animal to successfully integrate and inhibit sensory information. Several clinical studies have shown that a number of human disorders have impaired PPI including: schizophrenia, Huntington&rsquo;s disease, fragile X syndrome, and autism. The acoustic startle and PPI paradigm is therefore largely used to assess sensorimotor gating and the effects of a number of treatment modalities such as putative anti-psychotics, and to explore genetic and neurobiological mechanisms underlying behaviors of relevance to psychosis (Geyer, 1999; Ouagazzal et al., 2001).Ontological description: MP:0002067 - abnormal sensory capabilities/reflexes/nociception.",1,17732
Acoustic Startle and Pre-pulse Inhibition (PPI),1,"The acoustic startle response is characterized by an exaggerated flinching response to an unexpected strong auditory stimulus (pre-pulse). This response can be attenuated when it is preceded by a weaker stimulus (pre-pulse) and is the principle underlying pre-pulse inhibition (PPI). PPI has been described in numerous species, including mice and humans and provides an operational measure of sensorimotor gating reflecting the ability of an animal to successfully integrate and inhibit sensory information. Several clinical studies have shown that a number of human disorders have impaired PPI including: schizophrenia, Huntington&rsquo;s disease, fragile X syndrome, and autism. The acoustic startle and PPI paradigm is therefore largely used to assess sensorimotor gating and the effects of a number of treatment modalities such as putative anti-psychotics, and to explore genetic and neurobiological mechanisms underlying behaviors of relevance to psychosis (Geyer, 1999; Ouagazzal et al., 2001).Ontological description: MP:0002067 - abnormal sensory capabilities/reflexes/nociception.",1,17733
Acoustic Startle and Pre-pulse Inhibition (PPI),1,"The acoustic startle response is characterized by an exaggerated flinching response to an unexpected strong auditory stimulus (pre-pulse). This response can be attenuated when it is preceded by a weaker stimulus (pre-pulse) and is the principle underlying pre-pulse inhibition (PPI). PPI has been described in numerous species, including mice and humans and provides an operational measure of sensorimotor gating reflecting the ability of an animal to successfully integrate and inhibit sensory information. Several clinical studies have shown that a number of human disorders have impaired PPI including: schizophrenia, Huntington&rsquo;s disease, fragile X syndrome, and autism. The acoustic startle and PPI paradigm is therefore largely used to assess sensorimotor gating and the effects of a number of treatment modalities such as putative anti-psychotics, and to explore genetic and neurobiological mechanisms underlying behaviors of relevance to psychosis (Geyer, 1999; Ouagazzal et al., 2001).Ontological description: MP:0002067 - abnormal sensory capabilities/reflexes/nociception.",1,17734
Acoustic Startle and Pre-pulse Inhibition (PPI),1,"The acoustic startle response is characterized by an exaggerated flinching response to an unexpected strong auditory stimulus (pre-pulse). This response can be attenuated when it is preceded by a weaker stimulus (pre-pulse) and is the principle underlying pre-pulse inhibition (PPI). PPI has been described in numerous species, including mice and humans and provides an operational measure of sensorimotor gating reflecting the ability of an animal to successfully integrate and inhibit sensory information. Several clinical studies have shown that a number of human disorders have impaired PPI including: schizophrenia, Huntington&rsquo;s disease, fragile X syndrome, and autism. The acoustic startle and PPI paradigm is therefore largely used to assess sensorimotor gating and the effects of a number of treatment modalities such as putative anti-psychotics, and to explore genetic and neurobiological mechanisms underlying behaviors of relevance to psychosis (Geyer, 1999; Ouagazzal et al., 2001).Ontological description: MP:0002067 - abnormal sensory capabilities/reflexes/nociception.",1,17735
Acoustic Startle and Pre-pulse Inhibition (PPI),1,"The acoustic startle response is characterized by an exaggerated flinching response to an unexpected strong auditory stimulus (pre-pulse). This response can be attenuated when it is preceded by a weaker stimulus (pre-pulse) and is the principle underlying pre-pulse inhibition (PPI). PPI has been described in numerous species, including mice and humans and provides an operational measure of sensorimotor gating reflecting the ability of an animal to successfully integrate and inhibit sensory information. Several clinical studies have shown that a number of human disorders have impaired PPI including: schizophrenia, Huntington&rsquo;s disease, fragile X syndrome, and autism. The acoustic startle and PPI paradigm is therefore largely used to assess sensorimotor gating and the effects of a number of treatment modalities such as putative anti-psychotics, and to explore genetic and neurobiological mechanisms underlying behaviors of relevance to psychosis (Geyer, 1999; Ouagazzal et al., 2001).Ontological description: MP:0002067 - abnormal sensory capabilities/reflexes/nociception.",1,17736
Acoustic Startle and Pre-pulse Inhibition (PPI),1,"The acoustic startle response is characterized by an exaggerated flinching response to an unexpected strong auditory stimulus (pre-pulse). This response can be attenuated when it is preceded by a weaker stimulus (pre-pulse) and is the principle underlying pre-pulse inhibition (PPI). PPI has been described in numerous species, including mice and humans and provides an operational measure of sensorimotor gating reflecting the ability of an animal to successfully integrate and inhibit sensory information. Several clinical studies have shown that a number of human disorders have impaired PPI including: schizophrenia, Huntington&rsquo;s disease, fragile X syndrome, and autism. The acoustic startle and PPI paradigm is therefore largely used to assess sensorimotor gating and the effects of a number of treatment modalities such as putative anti-psychotics, and to explore genetic and neurobiological mechanisms underlying behaviors of relevance to psychosis (Geyer, 1999; Ouagazzal et al., 2001).Ontological description: MP:0002067 - abnormal sensory capabilities/reflexes/nociception.",1,17737
Acoustic Startle and Pre-pulse Inhibition (PPI),1,"The acoustic startle response is characterized by an exaggerated flinching response to an unexpected strong auditory stimulus (pre-pulse). This response can be attenuated when it is preceded by a weaker stimulus (pre-pulse) and is the principle underlying pre-pulse inhibition (PPI). PPI has been described in numerous species, including mice and humans and provides an operational measure of sensorimotor gating reflecting the ability of an animal to successfully integrate and inhibit sensory information. Several clinical studies have shown that a number of human disorders have impaired PPI including: schizophrenia, Huntington&rsquo;s disease, fragile X syndrome, and autism. The acoustic startle and PPI paradigm is therefore largely used to assess sensorimotor gating and the effects of a number of treatment modalities such as putative anti-psychotics, and to explore genetic and neurobiological mechanisms underlying behaviors of relevance to psychosis (Geyer, 1999; Ouagazzal et al., 2001).Ontological description: MP:0002067 - abnormal sensory capabilities/reflexes/nociception.",1,17738
Acoustic Startle and Pre-pulse Inhibition (PPI),1,"The acoustic startle response is characterized by an exaggerated flinching response to an unexpected strong auditory stimulus (pre-pulse). This response can be attenuated when it is preceded by a weaker stimulus (pre-pulse) and is the principle underlying pre-pulse inhibition (PPI). PPI has been described in numerous species, including mice and humans and provides an operational measure of sensorimotor gating reflecting the ability of an animal to successfully integrate and inhibit sensory information. Several clinical studies have shown that a number of human disorders have impaired PPI including: schizophrenia, Huntington&rsquo;s disease, fragile X syndrome, and autism. The acoustic startle and PPI paradigm is therefore largely used to assess sensorimotor gating and the effects of a number of treatment modalities such as putative anti-psychotics, and to explore genetic and neurobiological mechanisms underlying behaviors of relevance to psychosis (Geyer, 1999; Ouagazzal et al., 2001).Ontological description: MP:0002067 - abnormal sensory capabilities/reflexes/nociception.",1,17739
Acoustic Startle and Pre-pulse Inhibition (PPI),1,"The acoustic startle response is characterized by an exaggerated flinching response to an unexpected strong auditory stimulus (pre-pulse). This response can be attenuated when it is preceded by a weaker stimulus (pre-pulse) and is the principle underlying pre-pulse inhibition (PPI). PPI has been described in numerous species, including mice and humans and provides an operational measure of sensorimotor gating reflecting the ability of an animal to successfully integrate and inhibit sensory information. Several clinical studies have shown that a number of human disorders have impaired PPI including: schizophrenia, Huntington&rsquo;s disease, fragile X syndrome, and autism. The acoustic startle and PPI paradigm is therefore largely used to assess sensorimotor gating and the effects of a number of treatment modalities such as putative anti-psychotics, and to explore genetic and neurobiological mechanisms underlying behaviors of relevance to psychosis (Geyer, 1999; Ouagazzal et al., 2001).Ontological description: MP:0002067 - abnormal sensory capabilities/reflexes/nociception.",1,17740
Acoustic Startle and Pre-pulse Inhibition (PPI),1,"The acoustic startle response is characterized by an exaggerated flinching response to an unexpected strong auditory stimulus (pre-pulse). This response can be attenuated when it is preceded by a weaker stimulus (pre-pulse) and is the principle underlying pre-pulse inhibition (PPI). PPI has been described in numerous species, including mice and humans and provides an operational measure of sensorimotor gating reflecting the ability of an animal to successfully integrate and inhibit sensory information. Several clinical studies have shown that a number of human disorders have impaired PPI including: schizophrenia, Huntington&rsquo;s disease, fragile X syndrome, and autism. The acoustic startle and PPI paradigm is therefore largely used to assess sensorimotor gating and the effects of a number of treatment modalities such as putative anti-psychotics, and to explore genetic and neurobiological mechanisms underlying behaviors of relevance to psychosis (Geyer, 1999; Ouagazzal et al., 2001).Ontological description: MP:0002067 - abnormal sensory capabilities/reflexes/nociception.",1,17741
Acoustic Startle and Pre-pulse Inhibition (PPI),1,"The acoustic startle response is characterized by an exaggerated flinching response to an unexpected strong auditory stimulus (pre-pulse). This response can be attenuated when it is preceded by a weaker stimulus (pre-pulse) and is the principle underlying pre-pulse inhibition (PPI). PPI has been described in numerous species, including mice and humans and provides an operational measure of sensorimotor gating reflecting the ability of an animal to successfully integrate and inhibit sensory information. Several clinical studies have shown that a number of human disorders have impaired PPI including: schizophrenia, Huntington&rsquo;s disease, fragile X syndrome, and autism. The acoustic startle and PPI paradigm is therefore largely used to assess sensorimotor gating and the effects of a number of treatment modalities such as putative anti-psychotics, and to explore genetic and neurobiological mechanisms underlying behaviors of relevance to psychosis (Geyer, 1999; Ouagazzal et al., 2001).Ontological description: MP:0002067 - abnormal sensory capabilities/reflexes/nociception.",1,17742
Acoustic Startle and Pre-pulse Inhibition (PPI),1,"The acoustic startle response is characterized by an exaggerated flinching response to an unexpected strong auditory stimulus (pre-pulse). This response can be attenuated when it is preceded by a weaker stimulus (pre-pulse) and is the principle underlying pre-pulse inhibition (PPI). PPI has been described in numerous species, including mice and humans and provides an operational measure of sensorimotor gating reflecting the ability of an animal to successfully integrate and inhibit sensory information. Several clinical studies have shown that a number of human disorders have impaired PPI including: schizophrenia, Huntington&rsquo;s disease, fragile X syndrome, and autism. The acoustic startle and PPI paradigm is therefore largely used to assess sensorimotor gating and the effects of a number of treatment modalities such as putative anti-psychotics, and to explore genetic and neurobiological mechanisms underlying behaviors of relevance to psychosis (Geyer, 1999; Ouagazzal et al., 2001).Ontological description: MP:0002067 - abnormal sensory capabilities/reflexes/nociception.",1,17743
Acoustic Startle and Pre-pulse Inhibition (PPI),1,"The acoustic startle response is characterized by an exaggerated flinching response to an unexpected strong auditory stimulus (pre-pulse). This response can be attenuated when it is preceded by a weaker stimulus (pre-pulse) and is the principle underlying pre-pulse inhibition (PPI). PPI has been described in numerous species, including mice and humans and provides an operational measure of sensorimotor gating reflecting the ability of an animal to successfully integrate and inhibit sensory information. Several clinical studies have shown that a number of human disorders have impaired PPI including: schizophrenia, Huntington&rsquo;s disease, fragile X syndrome, and autism. The acoustic startle and PPI paradigm is therefore largely used to assess sensorimotor gating and the effects of a number of treatment modalities such as putative anti-psychotics, and to explore genetic and neurobiological mechanisms underlying behaviors of relevance to psychosis (Geyer, 1999; Ouagazzal et al., 2001).Ontological description: MP:0002067 - abnormal sensory capabilities/reflexes/nociception.",1,17744
Acoustic Startle and Pre-pulse Inhibition (PPI),1,"The acoustic startle response is characterized by an exaggerated flinching response to an unexpected strong auditory stimulus (pre-pulse). This response can be attenuated when it is preceded by a weaker stimulus (pre-pulse) and is the principle underlying pre-pulse inhibition (PPI). PPI has been described in numerous species, including mice and humans and provides an operational measure of sensorimotor gating reflecting the ability of an animal to successfully integrate and inhibit sensory information. Several clinical studies have shown that a number of human disorders have impaired PPI including: schizophrenia, Huntington&rsquo;s disease, fragile X syndrome, and autism. The acoustic startle and PPI paradigm is therefore largely used to assess sensorimotor gating and the effects of a number of treatment modalities such as putative anti-psychotics, and to explore genetic and neurobiological mechanisms underlying behaviors of relevance to psychosis (Geyer, 1999; Ouagazzal et al., 2001).Ontological description: MP:0002067 - abnormal sensory capabilities/reflexes/nociception.",1,17745
Acoustic Startle and Pre-pulse Inhibition (PPI),1,"The acoustic startle response is characterized by an exaggerated flinching response to an unexpected strong auditory stimulus (pre-pulse). This response can be attenuated when it is preceded by a weaker stimulus (pre-pulse) and is the principle underlying pre-pulse inhibition (PPI). PPI has been described in numerous species, including mice and humans and provides an operational measure of sensorimotor gating reflecting the ability of an animal to successfully integrate and inhibit sensory information. Several clinical studies have shown that a number of human disorders have impaired PPI including: schizophrenia, Huntington&rsquo;s disease, fragile X syndrome, and autism. The acoustic startle and PPI paradigm is therefore largely used to assess sensorimotor gating and the effects of a number of treatment modalities such as putative anti-psychotics, and to explore genetic and neurobiological mechanisms underlying behaviors of relevance to psychosis (Geyer, 1999; Ouagazzal et al., 2001).Ontological description: MP:0002067 - abnormal sensory capabilities/reflexes/nociception.",1,17746
Acoustic Startle and Pre-pulse Inhibition (PPI),1,"The acoustic startle response is characterized by an exaggerated flinching response to an unexpected strong auditory stimulus (pre-pulse). This response can be attenuated when it is preceded by a weaker stimulus (pre-pulse) and is the principle underlying pre-pulse inhibition (PPI). PPI has been described in numerous species, including mice and humans and provides an operational measure of sensorimotor gating reflecting the ability of an animal to successfully integrate and inhibit sensory information. Several clinical studies have shown that a number of human disorders have impaired PPI including: schizophrenia, Huntington&rsquo;s disease, fragile X syndrome, and autism. The acoustic startle and PPI paradigm is therefore largely used to assess sensorimotor gating and the effects of a number of treatment modalities such as putative anti-psychotics, and to explore genetic and neurobiological mechanisms underlying behaviors of relevance to psychosis (Geyer, 1999; Ouagazzal et al., 2001).Ontological description: MP:0002067 - abnormal sensory capabilities/reflexes/nociception.",1,17747
Acoustic Startle and Pre-pulse Inhibition (PPI),1,"The acoustic startle response is characterized by an exaggerated flinching response to an unexpected strong auditory stimulus (pre-pulse). This response can be attenuated when it is preceded by a weaker stimulus (pre-pulse) and is the principle underlying pre-pulse inhibition (PPI). PPI has been described in numerous species, including mice and humans and provides an operational measure of sensorimotor gating reflecting the ability of an animal to successfully integrate and inhibit sensory information. Several clinical studies have shown that a number of human disorders have impaired PPI including: schizophrenia, Huntington&rsquo;s disease, fragile X syndrome, and autism. The acoustic startle and PPI paradigm is therefore largely used to assess sensorimotor gating and the effects of a number of treatment modalities such as putative anti-psychotics, and to explore genetic and neurobiological mechanisms underlying behaviors of relevance to psychosis (Geyer, 1999; Ouagazzal et al., 2001).Ontological description: MP:0002067 - abnormal sensory capabilities/reflexes/nociception.",1,17748
Acoustic Startle and Pre-pulse Inhibition (PPI),1,"The acoustic startle response is characterized by an exaggerated flinching response to an unexpected strong auditory stimulus (pre-pulse). This response can be attenuated when it is preceded by a weaker stimulus (pre-pulse) and is the principle underlying pre-pulse inhibition (PPI). PPI has been described in numerous species, including mice and humans and provides an operational measure of sensorimotor gating reflecting the ability of an animal to successfully integrate and inhibit sensory information. Several clinical studies have shown that a number of human disorders have impaired PPI including: schizophrenia, Huntington&rsquo;s disease, fragile X syndrome, and autism. The acoustic startle and PPI paradigm is therefore largely used to assess sensorimotor gating and the effects of a number of treatment modalities such as putative anti-psychotics, and to explore genetic and neurobiological mechanisms underlying behaviors of relevance to psychosis (Geyer, 1999; Ouagazzal et al., 2001).Ontological description: MP:0002067 - abnormal sensory capabilities/reflexes/nociception.",1,17749
Acoustic Startle and Pre-pulse Inhibition (PPI),1,"The acoustic startle response is characterized by an exaggerated flinching response to an unexpected strong auditory stimulus (pre-pulse). This response can be attenuated when it is preceded by a weaker stimulus (pre-pulse) and is the principle underlying pre-pulse inhibition (PPI). PPI has been described in numerous species, including mice and humans and provides an operational measure of sensorimotor gating reflecting the ability of an animal to successfully integrate and inhibit sensory information. Several clinical studies have shown that a number of human disorders have impaired PPI including: schizophrenia, Huntington&rsquo;s disease, fragile X syndrome, and autism. The acoustic startle and PPI paradigm is therefore largely used to assess sensorimotor gating and the effects of a number of treatment modalities such as putative anti-psychotics, and to explore genetic and neurobiological mechanisms underlying behaviors of relevance to psychosis (Geyer, 1999; Ouagazzal et al., 2001).Ontological description: MP:0002067 - abnormal sensory capabilities/reflexes/nociception.",1,17750
Acoustic Startle and Pre-pulse Inhibition (PPI),1,"The acoustic startle response is characterized by an exaggerated flinching response to an unexpected strong auditory stimulus (pre-pulse). This response can be attenuated when it is preceded by a weaker stimulus (pre-pulse) and is the principle underlying pre-pulse inhibition (PPI). PPI has been described in numerous species, including mice and humans and provides an operational measure of sensorimotor gating reflecting the ability of an animal to successfully integrate and inhibit sensory information. Several clinical studies have shown that a number of human disorders have impaired PPI including: schizophrenia, Huntington&rsquo;s disease, fragile X syndrome, and autism. The acoustic startle and PPI paradigm is therefore largely used to assess sensorimotor gating and the effects of a number of treatment modalities such as putative anti-psychotics, and to explore genetic and neurobiological mechanisms underlying behaviors of relevance to psychosis (Geyer, 1999; Ouagazzal et al., 2001).Ontological description: MP:0002067 - abnormal sensory capabilities/reflexes/nociception.",1,17751
Acoustic Startle and Pre-pulse Inhibition (PPI),1,"The acoustic startle response is characterized by an exaggerated flinching response to an unexpected strong auditory stimulus (pre-pulse). This response can be attenuated when it is preceded by a weaker stimulus (pre-pulse) and is the principle underlying pre-pulse inhibition (PPI). PPI has been described in numerous species, including mice and humans and provides an operational measure of sensorimotor gating reflecting the ability of an animal to successfully integrate and inhibit sensory information. Several clinical studies have shown that a number of human disorders have impaired PPI including: schizophrenia, Huntington&rsquo;s disease, fragile X syndrome, and autism. The acoustic startle and PPI paradigm is therefore largely used to assess sensorimotor gating and the effects of a number of treatment modalities such as putative anti-psychotics, and to explore genetic and neurobiological mechanisms underlying behaviors of relevance to psychosis (Geyer, 1999; Ouagazzal et al., 2001).Ontological description: MP:0002067 - abnormal sensory capabilities/reflexes/nociception.",1,17752
Acoustic Startle and Pre-pulse Inhibition (PPI),1,"The acoustic startle response is characterized by an exaggerated flinching response to an unexpected strong auditory stimulus (pre-pulse). This response can be attenuated when it is preceded by a weaker stimulus (pre-pulse) and is the principle underlying pre-pulse inhibition (PPI). PPI has been described in numerous species, including mice and humans and provides an operational measure of sensorimotor gating reflecting the ability of an animal to successfully integrate and inhibit sensory information. Several clinical studies have shown that a number of human disorders have impaired PPI including: schizophrenia, Huntington&rsquo;s disease, fragile X syndrome, and autism. The acoustic startle and PPI paradigm is therefore largely used to assess sensorimotor gating and the effects of a number of treatment modalities such as putative anti-psychotics, and to explore genetic and neurobiological mechanisms underlying behaviors of relevance to psychosis (Geyer, 1999; Ouagazzal et al., 2001).Ontological description: MP:0002067 - abnormal sensory capabilities/reflexes/nociception.",1,17753
Acoustic Startle and Pre-pulse Inhibition (PPI),1,"The acoustic startle response is characterized by an exaggerated flinching response to an unexpected strong auditory stimulus (pre-pulse). This response can be attenuated when it is preceded by a weaker stimulus (pre-pulse) and is the principle underlying pre-pulse inhibition (PPI). PPI has been described in numerous species, including mice and humans and provides an operational measure of sensorimotor gating reflecting the ability of an animal to successfully integrate and inhibit sensory information. Several clinical studies have shown that a number of human disorders have impaired PPI including: schizophrenia, Huntington&rsquo;s disease, fragile X syndrome, and autism. The acoustic startle and PPI paradigm is therefore largely used to assess sensorimotor gating and the effects of a number of treatment modalities such as putative anti-psychotics, and to explore genetic and neurobiological mechanisms underlying behaviors of relevance to psychosis (Geyer, 1999; Ouagazzal et al., 2001).Ontological description: MP:0002067 - abnormal sensory capabilities/reflexes/nociception.",1,17754
