"parameter_id","parameter_name","parameter_description","procedure_id"
"IMPC_ALZ_077_001","Free Ontology","free_ontology",2
"IMPC_ALZ_078_001","Free Ontology Annotation reason","free_ontology_annotation_reason",2
"IMPC_ALZ_079_001","Free text comment","free_text_comment",2
"IMPC_ALZ_080_001","Microscope equipment id","microscope_equipment_id",2
"IMPC_ALZ_081_001","Microscope equipment manufacturer","microscope_equipment_manufacturer",2
"IMPC_ALZ_082_001","Microscope equipment model","microscope_equipment_model",2
"IMPC_ALZ_083_001","Date Microscope last calibrated","date_microscope_last_calibrated",2
"IMPC_ALZ_084_001","Detector equipment manufacturer","detector_equipment_manufacturer",2
"IMPC_ALZ_085_001","Detector equipment model","detector_equipment_model",2
"IMPC_ALZ_086_001","Objective equipment company","objective_equipment_company",2
"IMPC_ALZ_087_001","Objective equipment model","objective_equipment_model",2
"IMPC_ALZ_088_001","Objective magnification","objective_magnification",2
"IMPC_ALZ_089_001","Illumination source manufacturer","illumination_source_manufacturer",2
"IMPC_ALZ_090_001","Illumination source model","illumination_source_model",2
"IMPC_ALZ_091_001","Sample preparation stain name","sample_preparation_stain_name",2
"IMPC_ALZ_092_001","Sample preparation reference impc","sample_preparation_reference_impc",2
"IMPC_ALZ_093_001","Bit Depth","bit_depth",2
"IMPC_ALZ_094_001","Colorspace","colorspace",2
"IMPC_ALZ_095_001","Experimental category","experimental_category",2
"IMPC_ALZ_096_001","Orientation","orientation",2
"IMPC_ALZ_097_001","Pixels per millimeter before processing","pixels_per_millimeter_before_processing",2
"IMPC_ALZ_098_001","Pixels per millimeter after processing","pixels_per_millimeter_after_processing",2
"IMPC_ALZ_099_001","Showcase image","showcase_image",2
"IMPC_ALZ_100_001","Date of Sacrifice","date_of_sacrifice",2
"IMPC_ALZ_101_001","Date of Perfusion","date_of_perfusion",2
"IMPC_ALZ_102_001","Epididymis","epididymis",2
"IMPC_ALZ_103_001","Main olfactory bulb","main_olfactory_bulb",2
"IMPC_ALZ_104_001","Midbrain","midbrain",2
"IMPC_ALZ_105_001","Thalamus","thalamus",2
"IMPC_GEO_001_001","Alive","alive",19
"IMPC_GEO_002_001","Scored","scored",19
"IMPC_GEO_003_001","Cardiovascular System","cardiovascular_system",19
"IMPC_GEO_004_001","Cardiovascular Development","cardiovascular_development",19
"IMPC_GEO_005_001","Heart Development","heart_development",19
"IMPC_GEO_006_001","Outflow tract development","outflow_tract_development",19
"IMPC_GEO_008_001","Heart Morphology","heart_morphology",19
"IMPC_GEO_011_001","Blood Vessel Morphology","blood_vessel_morphology",19
"IMPC_GEO_012_001","Developmental Vascular Remodelling","developmental_vascular_remodelling",19
"IMPC_GEO_013_001","Craniofacial","craniofacial",19
"IMPC_GEO_014_001","Craniofacial Development","craniofacial_development",19
"IMPC_GEO_015_001","Head shape","head_shape",19
"IMPC_GEO_016_001","Head size","head_size",19
"IMPC_GEO_019_001","Embryo Size","embryo_size",19
"IMPC_GEO_020_001","Body wall morphology","body_wall_morphology",19
"IMPC_GEO_021_001","Hearing/Vestibular/Ear","hearing_vestibular_ear",19
"IMPC_GEO_022_001","Ear Morphology","abnormal_ear_morphology",19
"IMPC_GEO_023_001","Ear Development","ear_development",19
"IMPC_GEO_024_001","Homeostasis/metabolism","homeostasis_metabolism",19
"IMPC_GEO_027_001","Integument","integument",19
"IMPC_GEO_028_001","Vibrissa Morphology","vibrissa_morphology",19
"IMPC_GEO_029_001","Skin Appearance","skin_appearance",19
"IMPC_GEO_030_001","Skin Coloration","skin_coloration",19
"IMPC_GEO_031_001","Limb Bud Morphology","limb_bud_morphology",19
"IMPC_GEO_032_001","Limb Plate Morphology","limb_plate_morphology",19
"IMPC_GEO_033_001","Tail Morphology","tail_morphology",19
"IMPC_GEO_035_001","Liver/Biliary","liver_biliary",19
"IMPC_GEO_036_001","Liver Morphology","liver_morphology",19
"IMPC_GEO_037_001","Liver Size","liver_size",19
"IMPC_GEO_039_001","Nervous System","nervous_system",19
"IMPC_GEO_040_001","Brain Development","brain_development",19
"IMPC_GEO_044_001","Vision/Eye","vision_eye",19
"IMPC_GEO_045_001","Eye Morphology","eye_morphology",19
"IMPC_GEO_046_001","Eye Size","eye_size",19
"IMPC_GEO_049_001","Comment on image","comment_on_image",19
"IMPC_GEO_050_001","Images","images",19
"IMPC_GEO_051_001","Experimenter ID","experimenter_id",19
"IMPC_GEO_052_001","Equipment ID","equipment_id",19
"IMPC_GEO_053_001","Equipment Manufacturer","equipment_manufacturer",19
"IMPC_GEO_054_001","Equipment Model","equipment_model",19
"IMPC_GEO_055_001","Fixative","fixative",19
"IMPC_GEO_056_001","Time of Dissection","time_of_dissection",19
"IMPC_GEO_057_001","Somite Stage","somite_stage",19
"IMPC_GEO_058_001","Time of dark cycle start","time_of_dark_cycle_start",19
"IMPC_GEO_059_001","Time of dark cycle end","time_of_dark_cycle_end",19
"IMPC_GEO_060_001","Date equipment last calibrated","date_equipment_last_calibrated",19
"IMPC_GEO_007_002","Absent heartbeat","absent_heartbeat",19
"IMPC_GEO_009_002","Hemorrhage","hemorrhage",19
"IMPC_GEO_010_002","Skin Hemorrhage","skin_hemorrhage",19
"IMPC_GEO_017_002","Facial Cleft","facial_cleft",19
"IMPC_GEO_018_002","Cleft Palate","cleft_palate",19
"IMPC_GEO_025_002","Hydrops fetalis (fetal adema)","hydrops_fetalis_fetal_adema",19
"IMPC_GEO_026_002","Gastroschisis (herniated abdominal wall)","gastroschisis_herniated_abdominal_wall",19
"IMPC_GEO_034_002","Polydactyly","polydactyly",19
"IMPC_GEO_038_002","Pale Liver","pale_liver",19
"IMPC_GEO_041_002","Exencephaly","exencephaly",19
"IMPC_GEO_042_002","Holoprosencephaly","holoprosencephaly",19
"IMPC_GEO_043_002","spina bifida","spina_bifida",19
"IMPC_GEO_047_002","Microphthalmia","microphthalmia",19
"IMPC_GEO_048_002","Anophthalmia","anophthalmia",19
"IMPC_GEO_061_001","Severely Dysmorphic","severely_dysmorphic",19
"IMPC_EVP_001_001","Outcome","outcome",46
"IMPC_EVP_002_001","Decision","decision",46
"IMPC_EVP_003_001","Comment on Decision (in English)","comment_on_decision_(in_english)",46
"IMPC_EVP_004_001","Total embryos","total_embryos",46
"IMPC_EVP_005_001","Total embryos heterozygous","total_embryos_heterozygous",46
"IMPC_EVP_006_001","Total embryos homozygous","total_embryos_homozygous",46
"IMPC_EVP_007_001","Total dead embryos","total_dead_embryos",46
"IMPC_EVP_008_001","Total dead WT","total_dead_wt",46
"IMPC_EVP_009_001","Total dead heterozygous","total_dead_heterozygous",46
"IMPC_EVP_010_001","Total dead homozygous","total_dead_homozygous",46
"IMPC_EVP_011_001","Total gross defect at dissection (alive or dead) embryos","total_gross_defect_at_dissection_(alive_or_dead)_embryos",46
"IMPC_EVP_012_001","Total gross defect at dissection (alive or dead) WT","total_gross_defect_at_dissection_(alive_or_dead)_wt",46
"IMPC_EVP_013_001","Total gross defect at dissection (alive or dead) heterozygous","total_gross_defect_at_dissection_(alive_or_dead)_heterozygous",46
"IMPC_EVP_014_001","Total gross defect at dissection (alive or dead) homozygous","total_gross_defect_at_dissection_(alive_or_dead)_homozygous",46
"IMPC_EVP_015_001","Number of reabsorptions","number_of_reabsorptions",46
"IMPC_EVP_016_001","Average Litter Size","average_litter_size",46
"IMPC_EVP_017_001","% embryos WT","%_embryos_wt",46
"IMPC_EVP_018_001","% embryos heterozygous","%_embryos_heterozygous",46
"IMPC_EVP_019_001","% embryos homozygous","%_embryos_homozygous",46
"IMPC_EVP_020_001","Time of dark cycle start","time_of_dark_cycle_start",46
"IMPC_EVP_021_001","Time of dark cycle end","time_of_dark_cycle_end",46
"IMPC_EVP_022_001","Embryo medium","embryo_medium",46
"IMPC_EVP_023_001","Total embryos WT","total_embryos_wt",46
"IMPC_EVP_024_001","Total live embryos","total_live_embryos",46
"IMPC_EVP_025_001","Total live heterozygous","total_live_heterozygous",46
"IMPC_EVP_026_001","Total live WT","total_live_wt",46
"IMPC_EVP_027_001","Total live homozygous","total_live_homozygous",46
"IMPC_HOU_003_002","Pipeline ID(s)","pipeline_ids_applicable_to_housing_conditions",30
"IMPC_HOU_004_002","Date effective from","date_effective_from",30
"IMPC_HOU_005_002","Date effective until","date_effective_until",30
"IMPC_HOU_009_001","Housing - temperature regulated","housing_temperature_regulated",30
"IMPC_HOU_068_001","Housing - temperature range","housing_temperature_range",30
"IMPC_HOU_012_001","Housing - relative humidity regulated","housing_relative_humidity_regulated",30
"IMPC_HOU_069_001","Housing - relative humidity range","housing_relative_humidity_range",30
"IMPC_HOU_015_001","Housing - ventilation managed","housing_ventilation_managed",30
"IMPC_HOU_070_001","Housing - air changes per hour in the room (range)","housing_air_changes_per_hour_in_the_room_range",30
"IMPC_HOU_019_001","Housing - IVC ventilation","housing_ivc_ventilation",30
"IMPC_HOU_071_001","Housing - air changes per hour in the IVC unit (range)","housing_ivc_ventilation_managed",30
"IMPC_HOU_023_001","Housing - light source","housing_light_source",30
"IMPC_HOU_072_001","Housing - light intensity (range)","housing_light_intensity_range",30
"IMPC_HOU_027_001","Housing - time lights switched on","housing_time_lights_switched_on",30
"IMPC_HOU_028_001","Housing - time lights switched off","housing_time_lights_switched_off",30
"IMPC_HOU_073_001","Housing - cage manufacturer","housing_cage_manufacturer",30
"IMPC_HOU_074_001","Housing - cage model","housing_cage_model",30
"IMPC_HOU_075_001","Housing - Racking system manufacturer","housing_rack_system_manufacturer",30
"IMPC_HOU_076_001","Housing - cage dimensions (L x W x H, in mm)","housing_cage_dimensions_lxwxh",30
"IMPC_HOU_077_001","Housing - animals per cage - Female maximum","housing_female_animals_per_cage_max",30
"IMPC_HOU_078_001","Housing - animals per cage - Female minimum","housing_female_animals_per_cage_min",30
"IMPC_HOU_079_001","Housing - animals per cage - Male maximum","housing_male_animals_per_cage_max",30
"IMPC_HOU_080_001","Housing - animals per cage - Male minimum","housing_male_animals_per_cage_min",30
"IMPC_HOU_035_002","Housing - bedding type","housing_bedding_type",30
"IMPC_HOU_036_001","Housing - bedding pre-treatment","housing_bedding_pre_treatment",30
"IMPC_HOU_037_002","Housing - cage enrichment","housing_cage_enrichment",30
"IMPC_HOU_038_001","Housing - frequency of cage cleaning","housing_frequency_of_cage_cleaning",30
"IMPC_HOU_039_002","Housing - frequency of handling (excluding phenotyping)","housing_frequency_of_handling",30
"IMPC_HOU_081_001","Housing - frequency of animal welfare assessments","housing_frequency_of_animal_welfare_assessments",30
"IMPC_HOU_082_001","Nutrition - supplier of diet","nutrition_diet_supplier",30
"IMPC_HOU_083_001","Nutrition - product ID of diet","nutrition_product_id",30
"IMPC_HOU_041_001","Nutrition - diet type","nutrition_diet_type",30
"IMPC_HOU_043_002","Nutrition - average composition (based on mass) - Carbohydrate","nutrition_average_composition_based_on_mass_carbohydrate",30
"IMPC_HOU_044_002","Nutrition - average composition (based on mass) - Fat","nutrition_average_composition_based_on_mass_fat",30
"IMPC_HOU_045_002","Nutrition - average composition (based on mass) - Protein","nutrition_average_composition_based_on_mass_protein",30
"IMPC_HOU_050_001","Nutrition - feeding regime (excluding fasting periods)","nutrition_feeding_regime_excluding_fasting_periods",30
"IMPC_HOU_051_002","Nutrition - source of lipids","nutrition_source_of_lipids",30
"IMPC_HOU_053_002","Water - pre-treatment","water_pre_treatment",30
"IMPC_HOU_054_001","Water - schedule (quantity)","water_schedule_quantity",30
"IMPC_HOU_055_001","Water - supply method","water_supply_method",30
"IMPC_HOU_056_001","Microbiological status - status of your centre","microbiological_status_status_of_your_centre",30
"IMPC_HOU_084_001","Microbiological status - pathogens testing frequency","microbiological_testing_frequency",30
"IMPC_HOU_085_001","Phenotyping lifestage","phenotyping_lifestage",30
"IMPC_HOU_052_001","Water - quality monitored","water_quality_monitored",30
"IMPC_HOU_086_001","Submission Identifier","submission_identifier",30
"IMPC_GEP_001_001","Alive","alive",20
"IMPC_GEP_002_001","Scored","scored",20
"IMPC_GEP_003_001","Behavior/neurological","behavior_neurological",20
"IMPC_GEP_006_001","Cardiovascular System","cardiovascular_system",20
"IMPC_GEP_007_001","Cardiovascular Development","cardiovascular_development",20
"IMPC_GEP_008_001","Heart Development","heart_development",20
"IMPC_GEP_009_001","Outflow tract development","outflow_tract_development",20
"IMPC_GEP_010_001","Heart Morphology","heart_morphology",20
"IMPC_GEP_013_001","Blood Vessel Morphology","blood_vessel_morphology",20
"IMPC_GEP_014_001","Craniofacial","craniofacial",20
"IMPC_GEP_015_001","Head shape","head_shape",20
"IMPC_GEP_016_001","Head size","head_size",20
"IMPC_GEP_017_001","Facial Morphology","facial_morphology",20
"IMPC_GEP_020_001","Digestive/alimentary","digestive_alimentary",20
"IMPC_GEP_021_001","Digestive System Morphology","digestive_system_morphology",20
"IMPC_GEP_022_001","Embryo Size","embryo_size",20
"IMPC_GEP_023_001","Embryo weight","embryo_weight",20
"IMPC_GEP_024_001","Body wall morphology","body_wall_morphology",20
"IMPC_GEP_025_001","Hearing/Vestibular/Ear","hearing_vestibular_ear",20
"IMPC_GEP_026_001","Outer ear morpholgy","outer_ear_morpholgy",20
"IMPC_GEP_027_001","Ear Development","ear_development",20
"IMPC_GEP_028_001","Homeostasis/metabolism","homeostasis_metabolism",20
"IMPC_GEP_032_001","Integument","integument",20
"IMPC_GEP_033_001","Vibrissa Morphology","vibrissa_morphology",20
"IMPC_GEP_034_001","Skin Appearance","skin_appearance",20
"IMPC_GEP_036_001","Skin Coloration","skin_coloration",20
"IMPC_GEP_037_001","Limb Morphology","limb_morphology",20
"IMPC_GEP_038_001","Tail Morphology","tail_morphology",20
"IMPC_GEP_040_001","Liver/Biliary","liver_biliary",20
"IMPC_GEP_041_001","Liver Morphology","liver_morphology",20
"IMPC_GEP_042_001","Liver Size","liver_size",20
"IMPC_GEP_043_001","Muscle","muscle",20
"IMPC_GEP_044_001","Diaphragm Morphology","diaphragm_morphology",20
"IMPC_GEP_045_001","Nervous System","nervous_system",20
"IMPC_GEP_046_001","Brain Development","brain_development",20
"IMPC_GEP_050_001","Renal/Urinary","renal_urinary",20
"IMPC_GEP_051_001","Kidney","kidney",20
"IMPC_GEP_052_001","Respiratory System","respiratory_system",20
"IMPC_GEP_053_001","Lung Morphology","lung_morphology",20
"IMPC_GEP_054_001","Lung Development","lung_development",20
"IMPC_GEP_056_001","Vision/Eye","vision_eye",20
"IMPC_GEP_057_001","Eye Morphology","eye_morphology",20
"IMPC_GEP_058_001","Eye Size","eye_size",20
"IMPC_GEP_062_001","Number of cervical vertebrae","number_of_cervical_vertebrae",20
"IMPC_GEP_063_001","Comment on image","comment_on_image",20
"IMPC_GEP_064_001","Images","images",20
"IMPC_GEP_065_001","Experimenter ID","experimenter_id",20
"IMPC_GEP_066_001","Equipment ID","equipment_id",20
"IMPC_GEP_067_001","Equipment Manufacturer","equipment_manufacturer",20
"IMPC_GEP_068_001","Equipment Model","equipment_model",20
"IMPC_GEP_069_001","Fixative","fixative",20
"IMPC_GEP_070_001","Time of Dissection","time_of_dissection",20
"IMPC_GEP_071_001","Somite Stage","somite_stage",20
"IMPC_GEP_072_001","Time of dark cycle start","time_of_dark_cycle_start",20
"IMPC_GEP_073_001","Time of dark cycle end","time_of_dark_cycle_end",20
"IMPC_GEP_074_001","Date equipment last calibrated","date_equipment_last_calibrated",20
"IMPC_GEP_004_002","Spontaneous movement","no_spontaneous_movement",20
"IMPC_GEP_005_002","Responsive to tactile stimuli","unresponsive_to_tactile_stimuli",20
"IMPC_GEP_011_002","Hemorrhage","hemorrhage",20
"IMPC_GEP_012_002","Skin Hemorrhage","skin_hemorrhage",20
"IMPC_GEP_018_002","Facial Cleft","facial_cleft",20
"IMPC_GEP_019_002","Cleft Palate","cleft_palate",20
"IMPC_GEP_029_002","Cyanosis","cyanosis",20
"IMPC_GEP_030_002","Edema","edema",20
"IMPC_GEP_031_002","Hydrops fetalis (fetal adema)","hydrops_fetalis_fetal_adema",20
"IMPC_GEP_035_002","Pallor","pallor",20
"IMPC_GEP_039_002","Polydactyly","polydactyly",20
"IMPC_GEP_047_002","Exencephaly","exencephaly",20
"IMPC_GEP_048_002","Holoprosencephaly","holoprosencephaly",20
"IMPC_GEP_049_002","spina bifida","spina_bifida",20
"IMPC_GEP_055_002","Respiratory Failure","respiratory_failure",20
"IMPC_GEP_059_002","Microphthalmia","microphthalmia",20
"IMPC_GEP_060_002","Anophthalmia","anophthalmia",20
"IMPC_GEP_061_002","Failure of Eyelid Fusion","failure_of_eyelid_fusion",20
"IMPC_GEP_075_001","Severely Dysmorphic","severely_dysmorphic",20
"IMPC_EMA_001_001","Embryo reconstruction","embryo_reconstruction",38
"IMPC_EMA_002_001","Experimenter ID","experimenter_id",38
"IMPC_EMA_003_001","Equipment ID","equipment_id",38
"IMPC_EMA_004_001","Equipment Manufacturer","equipment_manufacturer",38
"IMPC_EMA_005_001","Equipment Model","equipment_model",38
"IMPC_EMA_006_001","Equipment Version","equipment_version",38
"IMPC_EMA_007_001","Image Pixel Size","image_pixel_size",38
"IMPC_EMA_008_001","E18.5 MicroCT Preparation protocol","e18.5_microct_preparation_protocol",38
"IMPC_EMA_009_001","Date equipment last calibrated","date_equipment_last_calibrated",38
"IMPC_EMA_010_001","Date of Sacrifice","date_of_sacrifice",38
"IMPC_EMA_011_001","Date Preparation Finished","date_preparation_finished",38
"IMPC_EMA_012_001","Date of Scan","date_of_scan",38
"IMPC_EMA_013_001","Source Voltage","source_voltage",38
"IMPC_EMA_014_001","Source Current","source_current",38
"IMPC_EMA_015_001","Object to Source","object_to_source",38
"IMPC_EMA_016_001","Camera to Source","camera_to_source",38
"IMPC_EMA_017_001","Screenshots","screenshots",38
"IMPC_EMA_018_001","Limb digits","limb_digits",38
"IMPC_EMA_019_001","Tail","tail",38
"IMPC_EMA_020_001","Limbs","limbs",38
"IMPC_EMA_021_001","Pinna","pinna",38
"IMPC_EMA_022_001","Vibrissa","vibrissa",38
"IMPC_EMA_023_001","Edema","edema",38
"IMPC_EMA_024_001","Embryo size","embryo_size",38
"IMPC_EMA_025_001","Spinal Cord","spinal_cord",38
"IMPC_EMA_026_001","Spine curvature","spine_curvature",38
"IMPC_EMA_027_001","Craniofacial morphology","craniofacial_morphology",38
"IMPC_EMA_028_001","Hindbrain subarachnoid space","hindbrain_subarachnoid_space",38
"IMPC_EMA_029_001","Midbrain roof plate","midbrain_roof_plate",38
"IMPC_EMA_030_001","Midbrain","midbrain",38
"IMPC_EMA_031_001","Cerebellum","cerebellum",38
"IMPC_EMA_032_001","Cerebral cortex","cerebral_cortex",38
"IMPC_EMA_033_001","Thalamus","thalamus",38
"IMPC_EMA_034_001","Corpus striatum","corpus_striatum",38
"IMPC_EMA_035_001","Hippocampus","hippocampus",38
"IMPC_EMA_036_001","Hypothalamus","hypothalamus",38
"IMPC_EMA_037_001","Pineal gland","pineal_gland",38
"IMPC_EMA_038_001","Pons","pons",38
"IMPC_EMA_039_001","Medulla oblongata","medulla_oblongata",38
"IMPC_EMA_040_001","Lateral ventricles","lateral_ventricles",38
"IMPC_EMA_041_001","Lateral ventricle choroid plexus","lateral_ventricle_choroid_plexus",38
"IMPC_EMA_042_001","4th ventricle choroid plexus","4th_ventricle_choroid_plexus",38
"IMPC_EMA_043_001","4th Ventricle","4th_ventricle",38
"IMPC_EMA_044_001","Cerebral aqueduct","cerebral_aqueduct",38
"IMPC_EMA_045_001","Median sulcus","median_sulcus",38
"IMPC_EMA_046_001","3rd ventricle","3rd_ventricle",38
"IMPC_EMA_047_001","Olfactory lobe","olfactory_lobe",38
"IMPC_EMA_048_001","Trigeminal ganglion","trigeminal_ganglion",38
"IMPC_EMA_049_001","Pituitary gland","pituitary_gland",38
"IMPC_EMA_050_001","Spinal cord cervical region","spinal_cord_cervical_region",38
"IMPC_EMA_051_001","Dorsal root ganglion","dorsal_root_ganglion",38
"IMPC_EMA_052_001","Cochlea","cochlea",38
"IMPC_EMA_053_001","Nasal septum","nasal_septum",38
"IMPC_EMA_054_001","Nasal cavity","nasal_cavity",38
"IMPC_EMA_055_001","Nasopharynx","nasopharynx",38
"IMPC_EMA_056_001","Vomeronasal organ","vomeronasal_organ",38
"IMPC_EMA_057_001","Oropharynx","oropharynx",38
"IMPC_EMA_058_001","Oral cavity","oral_cavity",38
"IMPC_EMA_059_001","Optic nerve","optic_nerve",38
"IMPC_EMA_060_001","Intraretinal space","intraretinal_space",38
"IMPC_EMA_061_001","Hyaloid cavity","hyaloid_cavity",38
"IMPC_EMA_062_001","Cornea","cornea",38
"IMPC_EMA_063_001","Lens","lens",38
"IMPC_EMA_064_001","Eyelids","eyelids",38
"IMPC_EMA_065_001","Temporal bone","temporal_bone",38
"IMPC_EMA_066_001","Pharyngo-tympanic tube","pharyngo-tympanic_tube",38
"IMPC_EMA_067_001","Palate","palate",38
"IMPC_EMA_068_001","Epiglottis","epiglottis",38
"IMPC_EMA_069_001","Tongue","tongue",38
"IMPC_EMA_070_001","Mandible","mandible",38
"IMPC_EMA_071_001","Lower jaw molar","lower_jaw_molar",38
"IMPC_EMA_072_001","Upper jaw molar","upper_jaw_molar",38
"IMPC_EMA_073_001","Sphenoid bone","sphenoid_bone",38
"IMPC_EMA_074_001","Thyroid gland","thyroid_gland",38
"IMPC_EMA_075_001","Submandibular gland","submandibular_gland",38
"IMPC_EMA_076_001","Brown fat","brown_fat",38
"IMPC_EMA_077_001","Vertebrae","vertebrae",38
"IMPC_EMA_078_001","Esophagus","esophagus",38
"IMPC_EMA_079_001","Clavicle","clavicle",38
"IMPC_EMA_080_001","Scapula","scapula",38
"IMPC_EMA_081_001","Ulna","ulna",38
"IMPC_EMA_082_001","Humerus","humerus",38
"IMPC_EMA_083_001","Arytenoid cartilage","arytenoid_cartilage",38
"IMPC_EMA_084_001","Cricoid cartilage","cricoid_cartilage",38
"IMPC_EMA_085_001","Trachea","trachea",38
"IMPC_EMA_086_001","Carotid artery","carotid_artery",38
"IMPC_EMA_087_001","Thymus","thymus",38
"IMPC_EMA_088_001","Sternum","sternum",38
